title,genre,background,combined
Inu x Boku SS,"Comedy, Supernatural, Romance, Shounen","Inu x Boku SS was licensed by Sentai Filmworks for North America, while MVM Films licensed it for the United Kingdom. During April 2013, Hanabee Entertainment released the series on DVD and Blu-ray for Australia and New Zealand.","Comedy, Supernatural, Romance, Shounen Inu x Boku SS was licensed by Sentai Filmworks for North America, while MVM Films licensed it for the United Kingdom. During April 2013, Hanabee Entertainment released the series on DVD and Blu-ray for Australia and New Zealand."
Princess Tutu,"Comedy, Drama, Magic, Romance, Fantasy","Princess Tutu aired in two parts. The first part included 13 25-minute-long episodes, while the second part consisted of 24 12-minute-long episodes with a 25-minute-long final episode for a total of 25 episodes.","Comedy, Drama, Magic, Romance, Fantasy Princess Tutu aired in two parts. The first part included 13 25-minute-long episodes, while the second part consisted of 24 12-minute-long episodes with a 25-minute-long final episode for a total of 25 episodes."
Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai","An event to show ep.1 of season 2 (along with 1st OVA) happening on September 24, 2011.  Regular TV airing started on October 8, 2011.","Comedy, Drama, Romance, Shounen Ai An event to show ep.1 of season 2 (along with 1st OVA) happening on September 24, 2011.  Regular TV airing started on October 8, 2011."
Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen","Bleach adapts the first 54 volumes of Tite Kubo&#039;s manga series of the same name. In addition, 4 anime-original arcs were broadcast in-between and during the adaptations of original arcs of the manga.","Action, Adventure, Comedy, Super Power, Supernatural, Shounen Bleach adapts the first 54 volumes of Tite Kubo&#039;s manga series of the same name. In addition, 4 anime-original arcs were broadcast in-between and during the adaptations of original arcs of the manga."
Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen","The original episodes 9 and 18 are ""recap"" episodes, summarizing previous events. These episodes were re-numbered for the DVD release as episodes 8.5 and 16.5, respectively, and removed from their original sequence by being published together on the final DVD.(Source: Wikipedia)","Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen The original episodes 9 and 18 are ""recap"" episodes, summarizing previous events. These episodes were re-numbered for the DVD release as episodes 8.5 and 16.5, respectively, and removed from their original sequence by being published together on the final DVD.(Source: Wikipedia)"
Ranma ½,"Slice of Life, Comedy, Martial Arts, Fantasy",The 2011 live-action adaptation is produced by Nippon Television and is directed by Ryo Nishimura.,"Slice of Life, Comedy, Martial Arts, Fantasy The 2011 live-action adaptation is produced by Nippon Television and is directed by Ryo Nishimura."
Toradora!,"Slice of Life, Comedy, Romance, School","Toradora! was selected as a recommended work by the awards jury of the 13th Japan Media Arts Festival in 2009.The light novel was also adapted into video games for PlayStation Portable, published by Namco Bandai Games in 2009.","Slice of Life, Comedy, Romance, School Toradora! was selected as a recommended work by the awards jury of the 13th Japan Media Arts Festival in 2009.The light novel was also adapted into video games for PlayStation Portable, published by Namco Bandai Games in 2009."
Skip Beat!,"Comedy, Drama, Romance, Shoujo","Crunchyroll officially streamed the anime with English subtitles.Aside from the manga and anime there are a series of novels written by Ayuna Fujisaki. There is also a Taiwanese drama named ""Hua Li De Tiao Zhan"" (Extravagant Challenge) inspired by the series, and a total of three drama CDs that cover different parts of the story. ","Comedy, Drama, Romance, Shoujo Crunchyroll officially streamed the anime with English subtitles.Aside from the manga and anime there are a series of novels written by Ayuna Fujisaki. There is also a Taiwanese drama named ""Hua Li De Tiao Zhan"" (Extravagant Challenge) inspired by the series, and a total of three drama CDs that cover different parts of the story. "
Chihayafuru,"Drama, Game, Josei, School, Slice of Life, Sports","Chihayafuru is the anime adaptation of the manga with the same name written and illustrated by Yuki Suetsugu and serialised in the magazine Be Love. Animax Asia released the anime with English subtitles in 2013. The anime will get two live action film adaptations, both scheduled to be released in 2016. The manga won the second Manga Taishou award, and the 35th Kodansha Manga Award in the shoujo category. Chihayafuru has become so popular that it boosted interest in competitive karuta. The manga has sold over 4.5 million copies and has been praised for combining elements of sports and literature. ","Drama, Game, Josei, School, Slice of Life, Sports Chihayafuru is the anime adaptation of the manga with the same name written and illustrated by Yuki Suetsugu and serialised in the magazine Be Love. Animax Asia released the anime with English subtitles in 2013. The anime will get two live action film adaptations, both scheduled to be released in 2016. The manga won the second Manga Taishou award, and the 35th Kodansha Manga Award in the shoujo category. Chihayafuru has become so popular that it boosted interest in competitive karuta. The manga has sold over 4.5 million copies and has been praised for combining elements of sports and literature. "
Itazura na Kiss,"Comedy, Romance, Shoujo","Episode 25 was first aired back-to-back with episode 24 on CBC TV on September 25th, prior to its first airing on TBS (September 27th).","Comedy, Romance, Shoujo Episode 25 was first aired back-to-back with episode 24 on CBC TV on September 25th, prior to its first airing on TBS (September 27th)."
